Country Name,Country Code,Series Name,Series Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7555185296,8222480251,8338755823,9275174321,9772082812,11123202208,11559786095,14032485422,16047892927,16116313887,18171512502,19189252517,19712072023,19998156214,20450177379,20991494229,21241130983,22071999789,21553064853,17083574409,..
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,4650625161,4917833121,5062840191,5118781450,5054714953,5144721429,5434741887,5391924672,5315357204,5838204918,5279159423,3800881723,3527708138,3864936282,4185836785,4743487914,5175145287,4610020246,5017058469,5663797625,6057217275,6559561240,6857137321,7236243584,7635298387,8057257368,8532849798,9043392346,9721650519,10047742807,10420206418,10685442993,10836881664,10945469119,11139690870,11386850130,11764322012,12211628287,12702457551,12967692915,12516205780,13582023424,..
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,..
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,40186221485,43198145714,45377639736,49183351879,51769700728,56540193593,60768171202,61248608600,63086064463,67123575184,70748250274,74710149834,77474423327,77784321797,77239833469,76467430893,79831999505,80470655964,79505007621,80936099589,79236440885,78523315648,81507197552,84848991404,85782330258,90157232197,93042265027,96577871097,99475207231,1.05046E+11,1.12609E+11,1.17451E+11,1.24381E+11,1.26495E+11,1.30796E+11,1.33935E+11,1.36078E+11,1.40977E+11,1.45065E+11,1.49998E+11,1.54198E+11,1.60057E+11,1.65979E+11,1.71291E+11,1.73517E+11,1.756E+11,1.77356E+11,1.6831E+11,1.74201E+11,..
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,..
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,744923664.1,752116030.5,755198473.3,752116030.5,721291603.1,734648855,715126717.6,685329771,687384732.8,687384732.8,657587786.3,641148091.6,652450381.7,673000000,661697709.9,615461068.7,631900763.4,628818320.6,660670229,648340458,..
